row_index,platform,app_name,rating,review_date,review_text,audience_segment,content_category,tension_tag,pain_quotes,benefit_quotes,consideration_set,summary
0,google_play,Coursiv,1,2026-03-30 16:30:41,"When I paid $40 for this app, I thought I was paying in full. I didn't realize that this is a subscription model. When they renewed, they charged me $80 for 3 months!! I have repeatedly asked for my money back, they have declined. They have offered me more of a service that I don't want, didn't enjo",unclear,abandonment_regret,unclear,"They didn't teach you how to use prompts | too basic | I have repeatedly asked for my money back, they have declined. | They have offered me more of a service that I don't want, didn't enjoy (too basic) and am never going to use again.",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""When I paid $40 for this app, I thought I was paying in full. I didn't realize that this is a subscription model. When they renewed, they charged me $80 for 3 months!!""}, {""product_mentioned"": ""ChatGPT"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""You can learn all this on ChatGPT or Claude.""}, {""product_mentioned"": ""Claude"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""You can learn all this on ChatGPT or Claude.""}]","This 1-star review signals a high-priority churn and billing trust failure for Coursiv — the user felt deceived by a hidden subscription model, found the content too basic, was denied a refund, and explicitly dismissed the product in favor of free AI tools like ChatGPT and Claude, with a cut-off complaint specifically about the absence of prompt engineering instruction."
1,google_play,Coursiv,4,2026-04-04 08:24:18,"I love the ease of the fill in the blank options. the only improvement I'd suggest is if we get it wrong is to give an option to give the reason why and or the explanation of the correct answer and not just go straight to the next question or next content, and or a second chance to correctly answer ",unclear,general_feedback,unclear,"why does it say ""almost right, or almost correct"" something like that, but then it doesn't give an explanation why or the correct answer",I love the ease of the fill in the blank options,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""Or than that everything else is great!""}]","This 4-star Coursiv review praises the fill-in-the-blank learning format but identifies a clear product gap: incorrect answers and near-correct responses are not followed by explanations or retry opportunities, signaling a need for stronger formative feedback loops in the learning experience."
2,google_play,Coursiv,5,2026-04-08 02:18:30,"I've had minimal understanding of current AI, due primarily to lack of exposure. I wanted to learn about the different platforms to see if I could increase my income by using AI. This course is a PERFECT starting place for that - not too simple, but also not too advanced. AND, provides certificates ",aspiring_entrepreneur_sidehustler,course_recommendation,side_hustler,"I've had minimal understanding of current AI, due primarily to lack of exposure | I wanted to learn about the different platforms to see if I could increase my income by using AI","This course is a PERFECT starting place for that - not too simple, but also not too advanced. | provides certificates I can post on LinkedIn to prove I've done the studying! | I wanted to learn about the different platforms to see if I could increase my income by using AI","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""This course is a PERFECT starting place for that - not too simple, but also not too advanced.""}, {""product_mentioned"": ""LinkedIn"", ""sentiment"": ""neutral"", ""verbatim_quote"": ""provides certificates I can post on LinkedIn to prove I've done the studying""}]","A self-described AI beginner with minimal prior exposure praises Coursiv as an accessible, income-focused entry point into AI learning, specifically valuing its LinkedIn-shareable certificate as a credibility signal."
3,google_play,Coursiv,4,2026-04-03 19:22:00,When I saw the ad for Coursiv there was a set price for the course. On the next screen was an offer for am AI ton box and then a different price. And then again after continuing there was another price. The way they had it set up made it look like the price was just added together but what ended up ,unclear,general_feedback,unclear,I felt like it was a bait and switch | what ended up happening was they were each individual prices and I ended up spending over $200,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""When I saw the ad for Coursiv there was a set price for the course. On the next screen was an offer for am AI ton box and then a different price. And then again after continuing there was another price. The way they had it set up made it look like the price was just added together but what ended up happening was they were each individual prices and I ended up spending over $200. I felt like it was a bait and switch""}]","This review reveals a critical pricing trust issue with Coursiv's upsell funnel — the user felt deceived by a multi-screen checkout that obscured cumulative costs, resulting in an unexpected $200+ charge and a bait-and-switch perception, signaling a conversion and retention risk rooted in checkout UX opacity rather than product dissatisfaction."
4,google_play,Coursiv,1,2026-03-05 06:37:35,"This company operates very shady. I signed up for the trial at $39.99 for 3 months. When I look at my Credit Card transactions I saw two charges at $39.99 and another charge at $49.99. So my expected $40 charge turned into $120. I reached out to them via email to discribe the discrepancy, and after ",unclear,general_feedback,unclear,This company operates very shady. | my expected $40 charge turned into $120 | after a few back and forth emails they only would give me a refund on the $49.99 | I would not give this company any stars simply for the way they operate and their customer service | Don't recommend.,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""This company operates very shady. I signed up for the trial at $39.99 for 3 months. When I look at my Credit Card transactions I saw two charges at $39.99 and another charge at $49.99. So my expected $40 charge turned into $120. I reached out to them via email to discribe the discrepancy, and after a few back and forth emails they only would give me a refund on the $49.99. I would not give this company any stars simply for the way they operate and their customer service. Don't recommend.""}]","This 1-star review reveals a serious billing trust issue with Coursiv — the user was charged $120 instead of the expected $39.99 trial fee and received only a partial refund after contacting customer service, with no mention of product content, learning outcomes, or competitor alternatives, making it a billing/fraud complaint rather than a learning experience signal."
5,google_play,Coursiv,4,2026-03-01 06:53:35,"I'm just beginning the course--2 days in. After getting past the Hard Sell to Buy More before you get to test the waters, I've enjoyed (and learned from) the lessons. Upon reading most of the bad reviews, it seems like most of the complaining subscribers did not do their due-diligence and read the d",absolute_beginner_curious_explorer,course_recommendation,professional_upskiller,After getting past the Hard Sell to Buy More before you get to test the waters,"I've enjoyed (and learned from) the lessons | So far, so good.","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I've enjoyed (and learned from) the lessons""}]",A brand-new user 2 days into Coursiv signals cautious early satisfaction while flagging an aggressive upsell flow and billing transparency concerns as friction points that drove away less diligent subscribers.
6,google_play,Coursiv,5,2026-03-21 21:25:45,"I decided to learn more about AI and found Coursiv. The introductory pricing was appealing. I've only completed a few of AI models, but the amount I've learned about some of these models have exceeded my expectations and has given me the knowledge necessary to use AI effectively. I never realized th",absolute_beginner_curious_explorer,course_recommendation,professional_upskiller,I never realized there were so many differences.,"the amount I've learned about some of these models have exceeded my expectations and has given me the knowledge necessary to use AI effectively | I love the short courses in very easy formats. | The summarization with the key takeaways, at the end of each course, is very helpful. | Highly recommend!","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I decided to learn more about AI and found Coursiv.""}]","A self-described beginner sought accessible AI education and found Coursiv's introductory pricing, short-format courses, and end-of-module summaries effective for building foundational AI knowledge, signaling strong product-market fit for non-technical learners who want digestible, structured content without overwhelm."
7,google_play,Coursiv,1,2026-03-17 07:12:26,"The material is not as up to date and thorough as it should be for a paid app. The AI lessons included here can easily be covered with the free guides that each AI engine already provides. And to top it off, they will advertise one price at sign up, but hit you with unauthorized charges after the fa",unclear,abandonment_regret,unclear,"The material is not as up to date and thorough as it should be for a paid app. | The AI lessons included here can easily be covered with the free guides that each AI engine already provides. | they will advertise one price at sign up, but hit you with unauthorized charges after the fact.",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""The material is not as up to date and thorough as it should be for a paid app. The AI lessons included here can easily be covered with the free guides that each AI engine already provides. And to top it off, they will advertise one price at sign up, but hit you with unauthorized charges after the fact.""}]","This 1-star review signals strong distrust of Coursiv on three fronts — outdated content, low perceived value versus free alternatives, and deceptive billing practices — making it a high-priority churn and credibility risk signal for the product."
8,google_play,Coursiv,1,2026-01-24 18:09:02,"I signed on for a week for $19.99. Thought the subscription ended after that, but it didn't. The price went up to $39.99 Every 28days supposedly. They have been debiting my account twice (2 times) a month Not just once for $39.99 😡. Not $39.99 Every 28 days as the agreement stated. They took $39.99 ",unclear,abandonment_regret,unclear,They have been debiting my account twice (2 times) a month Not just once for $39.99 😡 | At this point they're just stealing my money | What makes me even more Angry is that I haven't even been utilizing the app smh | Watch ur Acct if you get the app | They took $39.99 on 1/2/2026 and $39.99 today 1/24/2026 | Not $39.99 Every 28 days as the agreement stated,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""I signed on for a week for $19.99. Thought the subscription ended after that, but it didn't. The price went up to $39.99 Every 28days supposedly. They have been debiting my account twice (2 times) a month Not just once for $39.99""}]","This 1-star review reveals a critical billing trust failure — the user reports unauthorized double-charging ($39.99 twice within 22 days vs. the stated 28-day cycle), non-use of the product, and explicit fraud language ('stealing my money'), signaling a severe churn and reputational risk pattern around Coursiv's subscription practices."
9,google_play,Coursiv,3,2026-01-04 06:34:05,"I am only two days in, and it's not bad. It just felt REALLY Skeezy when they offered the extra ""options"" after I already bought the training. Not pleased with that. Reviews say its hard to cancel and it auto renews. It was not at all clear that it auto renews and apparently for full price. But I al",unclear,general_feedback,unclear,"it felt REALLY Skeezy when they offered the extra ""options"" after I already bought the training | Reviews say its hard to cancel and it auto renews | It was not at all clear that it auto renews and apparently for full price",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""it felt REALLY Skeezy when they offered the extra \""options\"" after I already bought the training. Not pleased with that. Reviews say its hard to cancel and it auto renews. It was not at all clear that it auto renews and apparently for full price.""}]","This review signals a trust and transparency problem with Coursiv's post-purchase upsell tactics and unclear auto-renewal terms, which is generating friction and reputational risk even among users willing to continue with the product."
