tier,days_running_real,is_active_real,page_name_real,creative_type,full_ad_copy,headline,cta,link_description,landing_page,start_date_real,end_date_real,publisher_real,num_variations,page_likes,preview_image_url,ad_library_url,ad_transcribation,ad_visual_notes
TIER_1_ACTIVE,41,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-06 08:00:00,2026-04-17 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529890.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/648675687_909498251684576_7312616503160906204_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=d8JdVDLxInwQ7kNvwFWaDVI&_nc_oc=Adps0S3H5FcG_y0s2S2dQ5oLhBChOCvu246p50hhMGpSJEUnxrxkv44F5GFTABsgerw&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=lyTndrtncVRhrgdAgIVMCA&_nc_ss=7a389&oh=00_Af01vhOCv_kI55sEFdH2ZcDslwqNuzLjBULfxMrGu9sDHw&oe=69E891D1,https://www.facebook.com/ads/library/?id=1449166103275450,,
TIER_1_ACTIVE,41,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-06 08:00:00,2026-04-17 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529908.0,https://scontent.feoh14-1.fna.fbcdn.net/v/t39.35426-6/648285715_1617925369243565_3451995304166666743_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=AbPhi1B9ausQ7kNvwHQ73nl&_nc_oc=AdrMmIR3ZjzkHD8M_Cx6nYmSosznUNazvwUkCc5NHTjeYwMk7EgfJnUffYjh2q4Yrpk&_nc_zt=14&_nc_ht=scontent.feoh14-1.fna&_nc_gid=T6eFTcqTRjzVS-Snm0jIAA&_nc_ss=7a389&oh=00_Af05B1aG1M126HZjYvXjucwO2j5daj0HujANcEpFUv6N3Q&oe=69E88ECF,https://www.facebook.com/ads/library/?id=1213014764342193,,
TIER_1_ACTIVE,40,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-06 08:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529897.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/646388015_2712364009144447_4545948785109773518_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=RA1xTa6z9DQQ7kNvwFbKmiJ&_nc_oc=AdrJ2KwfHkXIi-TC3hFwgkLbBD7j3v5zrR8sBNTS5eqjvdYVXYMg3YgoA-6Ej3cPJiM&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=-bfZqjQ8Ar4wXwc0WmJ-CQ&_nc_ss=7a389&oh=00_Af3rancIZZCRGvn8atxH_bQ-d01cRbqvDdWGCaJorH2vPw&oe=69E86475,https://www.facebook.com/ads/library/?id=1229758975805128,,
TIER_1_ACTIVE,29,TRUE,Coursiv,image,None,Almaty Casting Call,LEARN_MORE,"Made with Tally, the simplest way to create forms.",https://tally.so/r/1AldBM,2026-03-19 07:00:00,2026-04-17 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529913.0,https://scontent.feoh8-1.fna.fbcdn.net/v/t39.35426-6/654312277_4444094685875109_5916619806406241135_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=oVQrW4tl7s0Q7kNvwG7Yl87&_nc_oc=AdpHiLlqt-CQYsjTqJtd-Z4Eqyu9Z5zsTNfmsr74tOpNfT4khwn8ANq8gH_KcTwY5pQ&_nc_zt=14&_nc_ht=scontent.feoh8-1.fna&_nc_gid=tOAFbZYAuxTnUKmQojUIfg&_nc_ss=7a389&oh=00_Af3-0-6EI-VFdkZN45Q8RA1IL8fpG_XKPKEJCXtEHrj-Cg&oe=69E87185,https://www.facebook.com/ads/library/?id=1369152725017515,,
TIER_1_ACTIVE,24,TRUE,Coursiv,video,¡Inicie su viaje hacia la IA con Coursiv 🚀,¡Empezar ahora!,LEARN_MORE,,https://coursiv.io/es/dynamic,2026-03-23 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,7633.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/656634034_2130528604374898_5430698217623517389_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=og_n1ApES0oQ7kNvwF-nmNh&_nc_oc=AdpspfSjUuxGy8hzxestwMgBdhLpXfSG156gkshnPw5MRUJqKIAQ7pJqeHXzTFP65nQ&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=2hlTfx2195_2oeVT2I04yw&_nc_ss=7a389&oh=00_Af1czJ4Mo9Vsa4mNquDBj5P9mWpcn7emQUv2TLpHq0clEg&oe=69E876D9,https://www.facebook.com/ads/library/?id=2083265488901475,"[00:00:00.03] - Hablante 1
La IA creará más millonarios en 5 años y tú puedes ser uno de ellos, pero eres demasiado perezoso, aunque es muy simple. Si desapareces solo por un mes y te comprometes a aprender, ya tu futuro será completamente diferente. Solo entra en el enlace y empieza a construir tu propio éxito.

","Overall AI-GENERATED video with coursiv’s template of apps AI tools showdown plan with 28 days try, hand click overflow animation, ans showdown of the certificates of completing AI tools "
TIER_1_ACTIVE,19,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-28 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529887.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/657460270_1952056482347141_6328961979694110129_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=i9Jnk0EqKp4Q7kNvwGcr-5I&_nc_oc=Adpnd3axWsxwx-dMfILa3yzGJ5X_PigYPLSDguHk-bDXYd7uirUwTwUi4lgU0_BXHT4&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=l0iA7O-Lt6k-T8XbHsa-WA&_nc_ss=7a389&oh=00_Af0tGjGtoWb-M7SVWRSuvPXKyrlrRVlyBcjz3DCIadQiiA&oe=69E8844D,https://www.facebook.com/ads/library/?id=2019001462381481,,
TIER_1_ACTIVE,16,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-31 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529890.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/662164362_980249404674844_6521325210605800742_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KX6fzqsWrYIQ7kNvwH0mIbk&_nc_oc=AdqfIjUOKkoy9V1DG6j52F8hNbPlHlsKt-4C6pFX5w0fbMs11bUzIslFqkgYpB2mZsI&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=lyTndrtncVRhrgdAgIVMCA&_nc_ss=7a389&oh=00_Af3a4jt-SLlfnQk2Tm-1shi-VjnfLyZAm49Fz04SfOHvFA&oe=69E88484,https://www.facebook.com/ads/library/?id=2036029403924521,,
TIER_1_ACTIVE,16,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-03-31 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529897.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/661469492_1512690767105884_2590271407400569067_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=o7Do9KzB_9kQ7kNvwG_yYqb&_nc_oc=AdqR2MO_ZiYI_lfkNNEXlgKAF4QLJOpoRChkMEfOdMumBu5ILJsnCpSLUiIex5S8tfs&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=KF4tcM_xi5yAZokz5HMNJQ&_nc_ss=7a389&oh=00_Af1rY3jy-k22kufRyWZ4HpRtmbyW1qPQOrsMShld1UIc4w&oe=69E88597,https://www.facebook.com/ads/library/?id=943887154842711,,
TIER_1_ACTIVE,15,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-04-01 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529889.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/660295316_1661961478280894_5779382558908876487_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=R5lTLulNAgQQ7kNvwHJJgDY&_nc_oc=AdqFoaMPtYTWRmTyNxRqrbmrJaOmINFZdRwrGwuWL-yD3i0PbwT-DMC6mNySqM9gJvU&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=z4zICpckQtpdTNkavJ6ehw&_nc_ss=7a389&oh=00_Af2Mg-CqiwRL0OzYp3jw4SJy4Lt8qM26s8QPPOCft5qVxg&oe=69E86D3A,https://www.facebook.com/ads/library/?id=920716790582701,,
TIER_1_ACTIVE,15,TRUE,Coursiv,image,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,Master AI with beginner-friendly courses. Learn ChatGPT and other AI tools for work and practical automation. No tech background needed. Join 800K+ learners.,https://coursiv.io/dynamic,2026-04-01 07:00:00,2026-04-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER"", ""THREADS""]",1,529910.0,https://scontent.feoh14-1.fna.fbcdn.net/v/t39.35426-6/660069812_945012948014642_4937346808504550915_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=sElD8NysLYAQ7kNvwECIw_R&_nc_oc=AdpB__OJGEvEL0Rv-SOEvAP9YPxUySAtThw6xKVvJRedIPrark3M-ZrMaSag1L68qqQ&_nc_zt=14&_nc_ht=scontent.feoh14-1.fna&_nc_gid=i1OcMzuIxCRvbhv0lB7GEg&_nc_ss=7a389&oh=00_Af1rzR54_G5zEhuIc2GyvuUpMFT-sjGxfm1xaGqn5f1XRA&oe=69E86042,https://www.facebook.com/ads/library/?id=1347589213854787,,
